cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
120,0,0,0,0,120,120,120,0
125,0,0,0,0,125,125,125,0
145,0,0,0,0,145,145,145,0
155,0,0,0,0,155,155,155,0
170,0,0,0,0,170,170,170,0
178,0,0,0,0,178,178,178,0
