cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
97.8,84.4,82.8,80.7,84.3,98,98.3,85.8,85
98.1,84.8,83.1,80.8,84.4,98.2,98.7,86.2,85.2
98.3,85.1,83.5,81,84.8,98.5,99,86.8,85.45
98.7,85.2,83.6,81.05,85,98.9,99.2,88.1,86
99.1,85.5,84,81.5,85.1,99.2,99.3,88.3,86.7
99.15,85.8,85.1,82.6,85.3,99.2,99.78,89,88
