cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
50,82,67,65,68,74,70,49.5,48
52,83,68,67,68,75,71,50,49
53,85,70,68,70,76,73,51.5,50
56,88,73,70,74,77,75,52.5,51
58,90,75,71,76,81,78,54.5,52
59,93,76,72,77,84,79,56.5,55
