cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
387.5,0,0,0,0,387.5,0,387.5,387.5
310,0,0,0,0,310,0,310,310
232.5,0,0,0,0,232.5,0,232.5,232.5
