cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
255,0,0,0,0,255,0,255,255
255,0,0,0,0,255,0,255,255
255.7,0,0,0,0,255.7,0,255.7,255.7
255.5,0,0,0,0,255.5,0,255.5,255.5
255,0,0,0,0,255,0,255,255
255,0,0,0,0,255,0,255,255
