cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
96.8,83.4,81.8,79.1,83.3,97,97.3,84.8,84
60,94,77,75,80,85,82,57.5,57
