cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
80,0,0,0,0,0,80,80,80
79.5,0,0,0,0,0,79.5,79.5,79.5
81,0,0,0,0,0,81,81,81
80,0,0,0,0,0,80,80,80
81.8,0,0,0,0,0,81.8,81.8,81.8
80,0,0,0,0,0,80,80,80
