cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
125,0,0,0,0,125,125,0,125
100,0,0,0,0,100,100,0,100
75,0,0,0,0,75,75,0,75
