cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
97.8,84.4,81.5,80.7,83.5,98,98.3,85.8,85
98.1,84.8,83.1,80.8,84.4,98.2,98.4,86.2,85.2
98.3,85.1,83.5,81,84.8,98.5,98.8,86.8,85.45
98.7,85.2,83.6,81.05,85,98.9,99.3,87.1,86
99.1,85.5,84,82.5,85.1,99.2,99.35,87.5,86.7
99.15,86,84.4,83,85.3,99.2,99.4,88.7,87
