cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
130,0,0,0,0,0,130,130,130
130,0,0,0,0,0,130,130,130
91,0,0,0,0,0,91,91,91
