cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
30,0,0,0,0,30,30,0,30
40,0,0,0,0,40,40,0,40
55,0,0,0,0,55,55,0,55
60,0,0,0,0,60,60,0,60
62,0,0,0,0,62,62,0,62
64,0,0,0,0,64,64,0,64
