cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
50,82,67,66,68,75,70,49.5,48
52,85,68,67,68,77,71,50,49
53,87,70,68,70,78,73,51.5,50
56,90,73,70,74,79,75,51.5,52
58,92,74,73,76,82,78,54.5,54
59,93,76,74,79,84,81,56.5,56
