cflmd,bfl,afl,cfl,lgc,cflmd_m,cflmd_cs,cflmd_fd,cflmd_de
262.5,0,0,0,0,262.5,262.5,262.5,0
210,0,0,0,0,210,210,210,0
157.5,0,0,0,0,157.5,157.5,157.5,0
